id,code,name,user_type_id:id,reconcile,account_type,parent_id:id,chart_template_id:id
1,1,Asset,fal_l10n_id.data_account_type_asset,False,view,,fal_l10n_id
2,2,Utang,fal_l10n_id.data_account_type_utang,False,view,,fal_l10n_id
3,3,Modal,fal_l10n_id.data_account_type_modal,False,view,,fal_l10n_id
4,4,Penjualan,fal_l10n_id.data_account_type_penjualan,False,view,,fal_l10n_id
5,5,HPP,fal_l10n_id.data_account_type_hpp,False,view,,fal_l10n_id
6,6,Biaya,fal_l10n_id.data_account_type_biaya,False,view,,fal_l10n_id
8,8,Pendapatan Lain,fal_l10n_id.data_account_type_pendapatan_lain,,view,,fal_l10n_id
9,9,Biaya Lain,fal_l10n_id.data_account_type_biaya_lain,False,view,,fal_l10n_id

1-1,1-1,Asset lancar,fal_l10n_id.data_account_type_asset,False,view,1,fal_l10n_id
1-2,1-2,Aset tetap,fal_l10n_id.data_account_type_asset,False,view,1,fal_l10n_id

1-11,1-11,Kas dan setara kas,fal_l10n_id.data_account_type_asset,False,view,1-1,fal_l10n_id
1-12,1-12,Piutang,fal_l10n_id.data_account_type_asset,False,view,1-1,fal_l10n_id
1-13,1-13,Persediaan,fal_l10n_id.data_account_type_asset,False,view,1-1,fal_l10n_id
1-14,1-14,Biaya dibayar dimuka,fal_l10n_id.data_account_type_asset,False,view,1-1,fal_l10n_id
1-15,1-15,Pajak dibayar dimuka,fal_l10n_id.data_account_type_asset,False,view,1-1,fal_l10n_id
1-16,1-16,Perlengkapan,fal_l10n_id.data_account_type_asset,False,view,1-1,fal_l10n_id
2-11,2-11,Utang Lancar,fal_l10n_id.data_account_type_utang,False,view,2,fal_l10n_id
2-12,2-12,Utang Pajak,fal_l10n_id.data_account_type_utang,False,view,2-11,fal_l10n_id
2-21,2-21,Utang Jangka Panjang,fal_l10n_id.data_account_type_utang,False,view,2,fal_l10n_id
2-81,2-81,Biaya yang masih harus dibayar,fal_l10n_id.data_account_type_utang,False,view,2,fal_l10n_id
3-15,3-15,Laba/rugi ditahan,fal_l10n_id.data_account_type_modal,False,view,3,fal_l10n_id
4-10,4-10,Pendapatan,fal_l10n_id.data_account_type_penjualan,False,view,4,fal_l10n_id
4-20,4-20,Potongan Penjualan,fal_l10n_id.data_account_type_penjualan,False,view,4,fal_l10n_id
5-10,5-10,Harga Pokok Penjualan,fal_l10n_id.data_account_type_hpp,False,view,5,fal_l10n_id
6-10,6-10,Biaya Karyawan,fal_l10n_id.data_account_type_biaya,False,view,6,fal_l10n_id
